,index,brand_name,model_name,price,rating,processor_brand,processor_name,processor_core,processor_threads,ram,ram_type,hdd,ssd,gpu_brand,gpu_model,gpu_size,screen_size,scree_resolution,Touch_screen,os,warranty
0,2,PRIMEBOOK,4G ANDROID,16990,26.0,MEDIATEK,MTK8788,OCTA CORE,,4,LPDDR4,64,,ARM,MALI,,11.6, 1366 x 768 ,0,ANDROID 11,12
1,3,HP,S,39990,61.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
2,4,ASUS,VIVOBOOK,47990,66.0,AMD,RYZEN 5 5600H,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,16.0, 1920 x 1200 ,0,WINDOWS 11,12
3,5,HP,VICTUS,67990,73.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
4,6,LENOVO,IDEAPAD,53990,71.0,AMD,RYZEN 5 5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
5,7,XIAOMI,REDMIBOOK,37990,61.0,INTEL,CORE I5 11300H,QUAD CORE,8,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
6,8,INFINIX,INBOOK,27490,53.0,INTEL,CORE I3 1005G1,DUAL CORE,4,8,LPDDR4X,0,256,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
7,9,HP,S,43990,61.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
8,10,DELL,INSPIRON,56990,60.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,1024,256,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,1,WINDOWS 11,
9,11,HP,G8,27999,59.0,AMD,RYZEN 3 3250U,DUAL CORE,4,8,DDR4,0,512,AMD,RADEON,,14.0, 1366 x 768 ,0,WINDOWS 11,12
10,12,PRIMEBOOK,4G ANDROID,18990,29.0,MEDIATEK,MTK8788,OCTA CORE,,4,LPDDR4,128,,ARM,MALI,,11.6, 1366 x 768 ,0,,12
11,13,HP,S,53490,63.0,INTEL,CORE I5 1155G7,QUAD CORE,8,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
12,14,HP,15-FC,53400,56.0,AMD,RYZEN 5 7520U,QUAD CORE,8,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
13,15,LENOVO,LEGION,119990,86.0,INTEL,CORE I7 12700H,14 CORES,20,16,DDR5,0,1024,NVIDIA,GEFORCE RTX,6,15.6, 2560 x 1600 ,0,WINDOWS 11,12
14,16,HP,S,38490,66.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,1024,256,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,
15,17,LENOVO,V,38390,62.0,AMD,RYZEN 5 5500U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
16,18,LENOVO,V,33037,63.0,AMD,RYZEN 3 5300U,QUAD CORE,8,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
17,19,ASUS,TUF,49990,68.0,AMD,RYZEN 5 4600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
18,20,HP,15-FC,39490,55.0,AMD,RYZEN 3 7320U,QUAD CORE,8,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
19,21,ASUS,CHROMEBOOK,14990,39.0,INTEL,N4020,DUAL CORE,2,4,LPDDR4X,32,,INTEL,UHD,,11.6, 1366 x 768 ,0,CHROME,12
20,22,HP,VICTUS,64990,71.0,INTEL,CORE I5 12450H,OCTA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
21,23,HP,S,58990,62.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
22,24,ASUS,VIVOBOOK,54990,66.0,AMD,RYZEN 5 5600H,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,16.0, 1920 x 1200 ,0,WINDOWS 11,12
23,25,DELL,VOSTRO,38990,61.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,1024,256,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,
24,26,ACER,ASPIRE,56990,69.0,INTEL,CORE I5 1240P,12 CORES,16,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
25,27,HP,VICTUS,57990,69.0,AMD,RYZEN 5 5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,1,WINDOWS 11,12
26,28,DELL,INSPIRON,43900,65.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,1,WINDOWS 11,12
27,29,HP,PAVILION,68918,63.0,INTEL,CORE I5 1240P,12 CORES,16,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
28,30,SAMSUNG,GALAXY BOOK,69990,49.0,INTEL,CORE I5 1340P,12 CORES,16,8,LPDDR5,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
29,31,ASUS,VIVOBOOK,42590,60.0,INTEL,CORE I3 1220P,10 CORES,12,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
30,32,APPLE,MACBOOK AIR,83900,45.0,APPLE,M1,OCTA CORE,,8,DDR4,0,256,APPLE,APPLE GPU,,13.3, 2560 x 1600 ,0,MAC,12
31,33,HP,VICTUS,67500,68.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
32,34,MSI,MODERN,53990,59.0,AMD,RYZEN 7 7730U,OCTA CORE,16,16,‎DDR4,0,1024,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
33,35,SAMSUNG,GALAXY BOOK,229900,79.0,INTEL,CORE I9 13900H,14 CORES,20,32,LPDDR5,0,512,NVIDIA,GEFORCE RTX,,16.0, 2880 x 1800 ,0,WINDOWS 11,12
34,36,HP,G8,23990,53.0,AMD,RYZEN 3  3250U,DUAL CORE,4,4,DDR4,1024,,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
35,37,ASUS,VIVOBOOK,83990,76.0,INTEL,CORE I9 11900H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,16.0, 1920 x 1200 ,0,WINDOWS 11,12
36,38,DELL,INSPIRON,42930,61.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
37,39,ASUS,VIVOBOOK,63990,74.0,INTEL,CORE I5 1240P,12 CORES,16,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,1,WINDOWS 11,12
38,40,LENOVO,E41,18990,50.0,AMD,3045B,DUAL CORE,2,8,DDR4,0,256,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
39,41,LENOVO,IDEAPAD,53990,69.0,INTEL,CORE I5 11320H,QUAD CORE,8,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
40,42,HP,PAVILION,48990,61.0,AMD,RYZEN 5  5500U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
41,43,HP,VICTUS,54500,68.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
42,44,ASUS,TUF,85990,80.0,AMD,RYZEN 7 6800H,OCTA CORE,16,16,DDR5,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
43,45,LENOVO,IDEAPAD,68928,75.0,AMD,RYZEN 5  5600H,HEXA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
44,46,APPLE,MACBOOK AIR,106990,48.0,APPLE,M2,OCTA CORE,,8,DDR4,0,256,APPLE,APPLE GPU,,13.6, 2560 x 1664 ,0,MAC,12
45,47,HP,PAVILION,63890,63.0,INTEL,CORE I5 1240P,12 CORES,16,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
46,48,HP,S,45490,61.0,AMD,RYZEN 5  5500U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
47,49,ASUS,VIVOBOOK,49990,59.0,AMD,RYZEN 5  5500U,HEXA CORE,12,8,DDR4,1024,256,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,
48,50,MSI,MODERN,48990,63.0,AMD,RYZEN 5 7530U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
49,51,HP,PAVILION,79990,71.0,INTEL,CORE I5 1335U,10 CORES,12,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,1,WINDOWS 11,12
50,52,LENOVO,THINKPAD,45990,67.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
51,53,HP,VICTUS,62990,74.0,INTEL,CORE I5 11400H,HEXA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE GTX,4,16.1, 1920 x 1080 ,0,WINDOWS 11,12
52,54,LENOVO,V,40900,63.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,1024,256,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,
53,55,SAMSUNG,GALAXY BOOK,59990,60.0,INTEL,CORE I5 1235U,10 CORES,12,8,LPDDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
54,56,ASUS,TUF,49990,63.0,INTEL,CORE I5 10200H,QUAD CORE,8,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
55,57,DELL,LATITUDE,108000,66.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 1366 x 768 ,0,WINDOWS 11,12
56,58,LENOVO,E41,20999,45.0,AMD,3045B,DUAL CORE,2,8,,1024,,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
57,59,DELL,INSPIRON,84910,65.0,INTEL,CORE I7 1260P,12 CORES,16,16,DDR5,0,512,INTEL,UHD,,13.3, 1920 x 1080 ,0,WINDOWS 11,12
58,60,ASUS,TUF,90990,76.0,INTEL,CORE I7 12650H,10 CORES,16,16,DDR5,0,1024,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
59,61,LENOVO,IDEAPAD,68200,67.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
60,62,LENOVO,IDEAPAD,53990,59.0,INTEL,CORE I5 1235U,10 CORES,12,8,,0,512,‎INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
61,63,LENOVO,THINKPAD,59990,63.0,AMD,RYZEN 5 5625U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
62,64,ASUS,VIVOBOOK,62990,67.0,INTEL,CORE I5 12500H,12 CORES,16,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1200 ,0,WINDOWS 11,12
63,65,FUJITSU,FMV ,74990,71.0,AMD,RYZEN 7 5825U,OCTA CORE,16,16,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,24
64,66,FUJITSU,FMV ,54990,69.0,AMD,RYZEN 5 5625U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,24
65,67,ACER,NITRO,108000,78.0,INTEL,CORE I7 12700H,14 CORES,20,16,DDR4,1024,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,
66,68,ASUS,TUF,94220,76.0,AMD,RYZEN 7 6800H,OCTA CORE,16,16,DDR5,0,1024,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
67,69,ASUS,VIVOBOOK,86885,68.0,AMD,RYZEN 7 5800H,OCTA CORE,16,16,DDR4,0,1024,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
68,70,SAMSUNG,GALAXY BOOK,109990,67.0,INTEL,CORE I7 1355U,10 CORES,12,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,13.3, 1920 x 1080 ,1,WINDOWS 11,12
69,71,HP,VICTUS,59990,72.0,INTEL,CORE I5 11400H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,16.1, 1920 x 1080 ,0,WINDOWS 11,12
70,72,APPLE,MACBOOK PRO,349900,66.0,APPLE,MAX,12 CORES,,32,,0,1024,APPLE,APPLE GPU,,16.2, 3456 x 2234 ,0,MAC,12
71,73,LENOVO,IDEAPAD,57990,72.0,INTEL,CORE I5 11320H,QUAD CORE,8,8,DDR4,1024,256,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,
72,74,DELL,INSPIRON,64990,67.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,512,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,1,WINDOWS 11,
73,75,JIO,JIOBOOK ,15799,26.0,QUALCOMM,665,OCTA CORE,,2,LPDDR4X,32,,QUALCOMM,ADRENO,,11.6, 1366 x 768 ,0,,12
74,76,DELL,INSPIRON,57490,55.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
75,77,LENOVO,IDEAPAD,55990,68.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
76,78,HP,OMEN,99990,81.0,AMD,RYZEN 7  6800H,OCTA CORE,16,16,DDR5,0,512,AMD,RADEON,8,16.1, 1920 x 1080 ,0,WINDOWS 11,12
77,79,LENOVO,E41,21990,38.0,AMD,3150U,DUAL CORE,4,4,DDR4,0,256,AMD,RADEON,,14.0, 1920 x 1080 ,0,DOS,12
78,80,ASUS,VIVOBOOK,58990,69.0,AMD,RYZEN 7  4800H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
79,81,MSI,BRAVO,49990,65.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
80,82,INFINIX,INBOOK,20990,47.0,INTEL,N5100,QUAD CORE,,4,LPDDR4X,0,128,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
81,83,ASUS,VIVOBOOK,37490,53.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
82,84,HP,S,29990,55.0,AMD,RYZEN 3  3250U,DUAL CORE,4,8,DDR4,0,256,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
83,85,HP,VICTUS,64999,73.0,INTEL,CORE I5 12450H,OCTA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
84,86,ASUS,TUF,82990,66.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,DDR5,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
85,87,DELL,G15,72559,65.0,AMD,RYZEN 5  6600H,HEXA CORE,12,16,DDR5,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS,12
86,88,MSI,KATANA,79990,74.0,INTEL,CORE I7 11800H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,6,15.6, 1920 x 1080 ,0,WINDOWS 10,24
87,89,HP,S,40990,47.0,INTEL,CORE I3 1125G4,QUAD CORE,8,8,DDR4,0,256,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
88,90,HP,VICTUS,61990,74.0,AMD,RYZEN 7 5800H,OCTA CORE,16,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,16.1, 1920 x 1080 ,0,WINDOWS 11,12
89,91,ACER,ASPIRE,59999,67.0,INTEL,CORE I5 1240P,12 CORES,16,8,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
